,datum,mesec,dan,ura,minuta,alt,az
0,2023-01-01T00:00:00,1,1,0,0,-62.38404235913333,31.997377457672222
1,2023-01-01T01:00:00,1,1,1,0,-55.581752500300006,55.82703233732222
2,2023-01-01T02:00:00,1,1,2,0,-46.86379465046389,72.45936497267778
3,2023-01-01T03:00:00,1,1,3,0,-36.966948617719446,85.18130866279722
4,2023-01-01T04:00:00,1,1,4,0,-25.262619915652778,96.02851639234167
5,2023-01-01T05:00:00,1,1,5,0,-15.367952048608332,106.15429981669445
6,2023-01-01T06:00:00,1,1,6,0,-6.970101720911111,116.28736144269166
7,2023-01-01T07:00:00,1,1,7,0,1.7451457427333334,126.95363013949722
8,2023-01-01T08:00:00,1,1,8,0,9.316681384444443,138.54850640970278
9,2023-01-01T09:00:00,1,1,9,0,15.246590503847221,151.30448089979447
10,2023-01-01T10:00:00,1,1,10,0,19.07574459755,165.18269763704998
11,2023-01-01T11:00:00,1,1,11,0,20.430764173266667,179.77617127228612
12,2023-01-01T12:00:00,1,1,12,0,19.161410801402777,194.38262136018335
13,2023-01-01T13:00:00,1,1,13,0,15.408788416108333,208.29416694443054
14,2023-01-01T14:00:00,1,1,14,0,9.541111759675,221.0917161963139
15,2023-01-01T15:00:00,1,1,15,0,2.016829933413889,232.7255667421111
16,2023-01-01T16:00:00,1,1,16,0,-5.275895512627778,243.4216290374111
17,2023-01-01T17:00:00,1,1,17,0,-15.69705520341111,253.57153318800556
18,2023-01-01T18:00:00,1,1,18,0,-25.605897405283333,263.69729693793613
19,2023-01-01T19:00:00,1,1,19,0,-35.31542630399723,274.5198200906555
20,2023-01-01T20:00:00,1,1,20,0,-45.20565801575278,287.17434286773056
21,2023-01-01T21:00:00,1,1,21,0,-55.89511215635277,303.6573873359833
22,2023-01-01T22:00:00,1,1,22,0,-62.62066037362778,327.2098656789194
23,2023-01-01T23:00:00,1,1,23,0,-65.60307361456111,359.3414038823583
24,2023-01-02T00:00:00,1,2,0,0,-62.41715386443611,31.700278971516667
25,2023-01-02T01:00:00,1,2,1,0,-55.58009245178889,55.58055050195
26,2023-01-02T02:00:00,1,2,2,0,-46.845136709672225,72.26055954955278
27,2023-01-02T03:00:00,1,2,3,0,-36.94217885303333,85.01293709024445
28,2023-01-02T04:00:00,1,2,4,0,-25.23836542107222,95.87774247414721
29,2023-01-02T05:00:00,1,2,5,0,-15.348943197833332,106.01273471628056
30,2023-01-02T06:00:00,1,2,6,0,-6.9603736748500005,116.1495524577889
31,2023-01-02T07:00:00,1,2,7,0,1.7485877932472222,126.81633617216666
32,2023-01-02T08:00:00,1,2,8,0,9.337139089230556,138.41078708015002
33,2023-01-02T09:00:00,1,2,9,0,15.287482613480556,151.16830586330832
34,2023-01-02T10:00:00,1,2,10,0,19.13915459928889,165.05328791951112
35,2023-01-02T11:00:00,1,2,11,0,20.516369650972223,179.66076975925
36,2023-01-02T12:00:00,1,2,12,0,19.266160765044443,194.28738720469167
37,2023-01-02T13:00:00,1,2,13,0,15.527899634247223,208.22141934541943
38,2023-01-02T14:00:00,1,2,14,0,9.669681772808334,221.03983727227777
39,2023-01-02T15:00:00,1,2,15,0,2.150939382322222,232.69083118027223
40,2023-01-02T16:00:00,1,2,16,0,-5.412893119661112,243.3999038834222
41,2023-01-02T17:00:00,1,2,17,0,-15.835373559116666,253.55895611621946
42,2023-01-02T18:00:00,1,2,18,0,-25.744745711552778,263.6899908797694
43,2023-01-02T19:00:00,1,2,19,0,-35.45446558353611,274.5125636972611
44,2023-01-02T20:00:00,1,2,20,0,-45.344474271172224,287.15707048913606
45,2023-01-02T21:00:00,1,2,21,0,-54.03162804308611,303.60619040024727
46,2023-01-02T22:00:00,1,2,22,0,-62.74589371041111,327.07230258501943
47,2023-01-02T23:00:00,1,2,23,0,-65.69397173195,359.07660759963335
48,2023-01-03T00:00:00,1,3,0,0,-62.45828460234445,31.39979524466389
49,2023-01-03T01:00:00,1,3,1,0,-55.585607315122225,55.327421506225
50,2023-01-03T02:00:00,1,3,2,0,-46.83298541607778,72.05501172359166
51,2023-01-03T03:00:00,1,3,3,0,-36.923587046380554,84.83846666135277
52,2023-01-03T04:00:00,1,3,4,0,-25.220217293761113,95.72156354340555
53,2023-01-03T05:00:00,1,3,5,0,-15.336147477738889,105.86639689428888
54,2023-01-03T06:00:00,1,3,6,0,-6.957088956619445,116.00757556507777
55,2023-01-03T07:00:00,1,3,7,0,1.758781341486111,126.67552934428889
56,2023-01-03T08:00:00,1,3,8,0,9.364682191169445,138.27035701888335
57,2023-01-03T09:00:00,1,3,9,0,15.33574757148889,151.03046223406668
58,2023-01-03T10:00:00,1,3,10,0,19.210085385413887,164.92352850232777
59,2023-01-03T11:00:00,1,3,11,0,20.609416704919447,179.54652612133333
60,2023-01-03T12:00:00,1,3,12,0,19.378014305572222,194.1947929856
61,2023-01-03T13:00:00,1,3,13,0,15.653571277947222,208.1525531760889
62,2023-01-03T14:00:00,1,3,14,0,9.804172352983334,220.99276108105278
63,2023-01-03T15:00:00,1,3,15,0,2.2903392727277776,232.66156185585
64,2023-01-03T16:00:00,1,3,16,0,-5.554635499638889,243.38417610698056
65,2023-01-03T17:00:00,1,3,17,0,-15.978022503619444,253.5529032744861
66,2023-01-03T18:00:00,1,3,18,0,-25.887679725452777,263.6898462902167
67,2023-01-03T19:00:00,1,3,19,0,-35.59756537114167,274.51332155495
68,2023-01-03T20:00:00,1,3,20,0,-45.48763424215,287.1489561387972
69,2023-01-03T21:00:00,1,3,21,0,-54.17323323436944,303.56544002326945
