,datum,mesec,max alt,vzhod az,vzhod,zahod az,zahod,dt
17,2023-01-18T23:59:00,1,22.888134974094445,119.63370202827778,6.583333333333333,240.6733367929861,15.7,9.116666666666667
18,2023-01-19T23:59:00,1,23.094967325016665,119.26527542996389,6.566666666666666,240.9304944118111,15.716666666666667,9.15
19,2023-01-20T23:59:00,1,23.308205077469445,118.89463691708889,6.55,241.37424804767778,15.75,9.2
20,2023-01-21T23:59:00,1,23.527834486391665,118.70192455616944,6.55,241.644501477425,15.766666666666667,9.216666666666667
21,2023-01-22T23:59:00,1,23.75360022182222,118.32713479286389,6.533333333333333,242.1013706188139,15.8,9.266666666666667
22,2023-01-23T23:59:00,1,23.98540718627778,117.95043199487222,6.516666666666667,242.38474208625556,15.816666666666666,9.3
23,2023-01-24T23:59:00,1,24.223313766033332,117.5719105753361,6.5,242.6746117780722,15.833333333333334,9.333333333333334
24,2023-01-25T23:59:00,1,24.467102635641666,117.1916612002639,6.483333333333333,243.15121062587224,15.866666666666667,9.383333333333333
25,2023-01-26T23:59:00,1,24.716629327830553,116.80977017531944,6.466666666666667,243.4541351428472,15.883333333333333,9.416666666666666
26,2023-01-27T23:59:00,1,24.97179062192222,116.42631930722779,6.45,243.9437634647139,15.916666666666666,9.466666666666667
27,2023-01-28T23:59:00,1,25.232548395566663,116.04138595017777,6.433333333333334,244.25960721944443,15.933333333333334,9.5
28,2023-01-29T23:59:00,1,25.49880901464722,115.655043388825,6.416666666666667,244.76210221116943,15.966666666666667,9.55
29,2023-01-30T23:59:00,1,25.770374325616665,115.26736121623055,6.4,245.09066368936112,15.983333333333333,9.583333333333334
30,2023-01-31T23:59:00,1,26.047136198100002,114.69816028655,6.366666666666666,245.605804997275,16.016666666666666,9.65
31,2023-02-01T23:59:00,2,26.328986332,114.30793785508888,6.35,245.94683507288335,16.033333333333335,9.683333333333334
32,2023-02-02T23:59:00,2,26.61581638629167,113.91656046124167,6.333333333333333,246.4743583042,16.066666666666666,9.733333333333333
33,2023-02-03T23:59:00,2,26.907518238202776,113.52408562194167,6.316666666666666,246.82756916916665,16.083333333333332,9.766666666666667
34,2023-02-04T23:59:00,2,27.204065159894444,112.95024276096389,6.283333333333333,247.36717330950557,16.116666666666667,9.833333333333334
35,2023-02-05T23:59:00,2,27.505260795141666,112.55565626911388,6.266666666666667,247.73224482136112,16.133333333333333,9.866666666666667
36,2023-02-06T23:59:00,2,27.81099563872778,112.16012462677223,6.25,248.28359849974998,16.166666666666668,9.916666666666666
37,2023-02-07T23:59:00,2,28.121163019680555,111.58329751229444,6.216666666666667,248.660183891525,16.183333333333334,9.966666666666667
38,2023-02-08T23:59:00,2,28.435656339544444,111.18592658454723,6.2,249.2229295476361,16.216666666666665,10.016666666666667
39,2023-02-09T23:59:00,2,28.754368932236112,110.6073296368111,6.166666666666667,249.61065739809445,16.233333333333334,10.066666666666666
40,2023-02-10T23:59:00,2,29.077193943919443,110.20828287552779,6.15,250.18441273340557,16.266666666666666,10.116666666666667
41,2023-02-11T23:59:00,2,29.404023831936108,109.80850768884444,6.133333333333334,250.58288927165,16.283333333333335,10.15
42,2023-02-12T23:59:00,2,29.734749799355555,109.227494742575,6.1,251.1672511397,16.316666666666666,10.216666666666667
43,2023-02-13T23:59:00,2,30.069261313769445,108.64578538904168,6.066666666666666,251.57606297490554,16.333333333333332,10.266666666666667
44,2023-02-14T23:59:00,2,30.407445656680554,108.24387480061667,6.05,252.17060815404443,16.366666666666667,10.316666666666666
45,2023-02-15T23:59:00,2,30.749187536411114,107.6608422731639,6.016666666666667,252.77006219495556,16.4,10.383333333333333
46,2023-02-16T23:59:00,2,31.094368640699997,107.25776816281112,6.0,253.19361234242777,16.416666666666668,10.416666666666666
47,2023-02-17T23:59:00,2,31.44286782035,106.67360021101668,5.966666666666667,253.80258787315836,16.45,10.483333333333333
48,2023-02-18T23:59:00,2,31.794561827433334,106.08895739214167,5.933333333333334,254.23537021157222,16.466666666666665,10.533333333333333
49,2023-02-19T23:59:00,2,32.14932637180556,105.68449556064722,5.916666666666667,254.85341860660276,16.5,10.583333333333334
50,2023-02-20T23:59:00,2,32.50704314455833,105.09905611782222,5.883333333333333,255.29498615241388,16.516666666666666,10.633333333333333
51,2023-02-21T23:59:00,2,32.86767203653056,104.51331549773333,5.85,255.7407333594611,16.533333333333335,10.683333333333334
52,2023-02-22T23:59:00,2,33.23101170398611,104.10801811562777,5.833333333333333,256.3715564747333,16.566666666666666,10.733333333333333
53,2023-02-23T23:59:00,2,33.59693913999445,103.52183430746389,5.8,256.82539793195275,16.583333333333332,10.783333333333333
54,2023-02-24T23:59:00,2,33.96533113607222,102.93550956194723,5.766666666666667,257.4641247816944,16.616666666666667,10.85
55,2023-02-25T23:59:00,2,34.33606464546945,102.34908836766667,5.733333333333333,257.9255521800278,16.633333333333333,10.9
56,2023-02-26T23:59:00,2,34.70901737086667,101.94340829392223,5.716666666666667,258.57165418880277,16.666666666666668,10.95
57,2023-02-27T23:59:00,2,35.08406827629167,101.35692004895833,5.683333333333334,259.04012282868615,16.683333333333334,11.0
58,2023-02-28T23:59:00,2,35.461247463319445,100.77044932031944,5.65,259.6930424064472,16.716666666666665,11.066666666666666
59,2023-03-01T23:59:00,3,35.84031208478889,100.184026161225,5.616666666666667,260.1679851574167,16.733333333333334,11.116666666666667
60,2023-03-02T23:59:00,3,36.22113180523611,99.59767794090277,5.583333333333333,260.8271484196861,16.766666666666666,11.183333333333334
61,2023-03-03T23:59:00,3,36.603592306991665,99.19236911657222,5.566666666666666,261.3079854308833,16.783333333333335,11.216666666666667
62,2023-03-04T23:59:00,3,36.98758111056111,98.60626056214444,5.533333333333333,261.9728091061055,16.816666666666666,11.283333333333333
63,2023-03-05T23:59:00,3,37.37316822765833,98.02029679673889,5.5,262.4589523459,16.833333333333332,11.333333333333334
64,2023-03-06T23:59:00,3,37.76010149053333,97.43449547290001,5.466666666666667,262.9474981452861,16.85,11.383333333333333
65,2023-03-07T23:59:00,3,38.148246538,96.84887215729167,5.433333333333334,263.6197036165167,16.883333333333333,11.45
66,2023-03-08T23:59:00,3,38.53749842134722,96.26344046366111,5.4,264.1126672284917,16.9,11.5
67,2023-03-09T23:59:00,3,38.92789798904166,95.67821245520834,5.366666666666666,264.7890519512917,16.933333333333334,11.566666666666666
68,2023-03-10T23:59:00,3,39.31930220443611,95.09319924131667,5.333333333333333,265.2858375591056,16.95,11.616666666666667
69,2023-03-11T23:59:00,3,39.71151445581945,94.50841159391945,5.3,265.7842878108528,16.966666666666665,11.666666666666666
70,2023-03-12T23:59:00,3,40.10443287015278,94.10504864853888,5.283333333333333,266.4658191408694,17.0,11.716666666666667
71,2023-03-13T23:59:00,3,40.49815353168056,93.52077341235834,5.25,266.96719766416663,17.016666666666666,11.766666666666667
72,2023-03-14T23:59:00,3,40.892448853752775,92.93676336879444,5.216666666666667,267.6514206063389,17.05,11.833333333333334
73,2023-03-15T23:59:00,3,41.287145525719446,92.35303640194167,5.183333333333334,268.15512981527775,17.066666666666666,11.883333333333333
74,2023-03-16T23:59:00,3,41.68217316129722,91.76961424676666,5.15,268.6597638525722,17.083333333333332,11.933333333333334
75,2023-03-17T23:59:00,3,42.077635247152784,91.18652297839166,5.116666666666666,269.34689812995555,17.116666666666667,12.0
76,2023-03-18T23:59:00,3,42.47317544076389,90.60379317208333,5.083333333333333,269.8529779888445,17.133333333333333,12.05
77,2023-03-19T23:59:00,3,42.86868092795278,90.02145960771945,5.05,270.54133750824445,17.166666666666668,12.116666666666667
78,2023-03-20T23:59:00,3,43.26424239584167,89.43956044771112,5.016666666666667,271.0482925833278,17.183333333333334,12.166666666666666
79,2023-03-21T23:59:00,3,43.65964937568611,88.85813596254722,4.983333333333333,271.5554654575667,17.2,12.216666666666667
80,2023-03-22T23:59:00,3,44.054691696930554,88.27722718359445,4.95,272.2446010451639,17.233333333333334,12.283333333333333
81,2023-03-23T23:59:00,3,44.449354327088884,87.69687465785556,4.916666666666667,272.75182560010836,17.25,12.333333333333334
82,2023-03-24T23:59:00,3,44.84365448333612,87.11711738285277,4.883333333333333,273.2588598673361,17.266666666666666,12.383333333333333
83,2023-03-25T23:59:00,3,45.23726462281111,86.53799191574444,4.85,273.94753345777224,17.3,12.45
84,2023-03-26T23:59:00,3,45.630076027741666,85.9595317459889,4.816666666666666,274.45378424810275,17.316666666666666,12.5
85,2023-03-27T23:59:00,3,46.022305886783336,85.38176705145833,4.783333333333333,275.1414661818694,17.35,12.566666666666666
86,2023-03-28T23:59:00,3,46.41353267043889,84.80472471803056,4.75,275.64636265273333,17.366666666666667,12.616666666666667
87,2023-03-29T23:59:00,3,46.803650028549995,84.22842859058333,4.716666666666667,276.1503626511333,17.383333333333333,12.666666666666666
88,2023-03-30T23:59:00,3,47.192788211077776,83.65289979365001,4.683333333333334,276.8354557062805,17.416666666666668,12.733333333333333
89,2023-03-31T23:59:00,3,47.58072233433056,83.07815696320277,4.65,277.3372457080416,17.433333333333334,12.783333333333333
90,2023-04-01T23:59:00,4,47.96725367258889,82.50421645278055,4.616666666666667,277.83771676967496,17.45,12.833333333333334
91,2023-04-02T23:59:00,4,48.35241288378056,81.93109239274723,4.583333333333333,278.518944450925,17.483333333333334,12.9
92,2023-04-03T23:59:00,4,48.73619369221389,81.54059519913055,4.566666666666666,279.01636175520275,17.5,12.933333333333334
93,2023-04-04T23:59:00,4,49.118295922325004,80.96917012585834,4.533333333333333,279.5120455470972,17.516666666666666,12.983333333333333
